nome_repositorio,idade_anos,total_releases,status_rq21,analisado
FortAwesome/Font-Awesome,14.5,65,ok,true
rtk-ai/rtk,0.57,280,ok,true
MisterBooo/LeetCodeAnimation,7.7,0,ok,true
nestjs/nest,9.54,158,ok,true
grafana/grafana,12.69,640,ok,true
sdmg15/Best-websites-a-programmer-should-visit,9.46,0,ok,true
redis/redis,17.41,150,ok,true
tesseract-ocr/tesseract,12.02,36,ok,true
AppFlowy-IO/AppFlowy,5.17,142,ok,true
ocornut/imgui,12.08,122,ok,true
typicode/json-server,12.73,49,ok,true
openai/openai-cookbook,4.44,0,ok,true
D4Vinci/Scrapling,1.85,52,ok,true
obsproject/obs-studio,12.88,247,ok,true
PKUFlyingPig/cs-self-learning,4.83,5,ok,true
caddyserver/caddy,11.6,136,ok,true
shareAI-lab/learn-claude-code,1.14,0,ok,true
python/cpython,9.52,0,ok,true
enaqx/awesome-react,12.04,0,ok,true
apache/superset,11.08,267,ok,true
abi/screenshot-to-code,2.76,0,ok,true
hiyouga/LlamaFactory,3.23,36,ok,true
josephmisiti/awesome-machine-learning,12.1,0,ok,true
Eugeny/tabby,9.65,209,ok,true
unslothai/unsloth,2.72,54,ok,true
unionlabs/union,3.26,113,ok,true
twitter/the-algorithm,3.4,0,ok,true
datawhalechina/hello-agents,0.95,3,ok,true
thedaviddias/Front-End-Checklist,8.84,2,ok,true
vuejs/awesome-vue,10.83,0,ok,true
binhnguyennus/awesome-scalability,8.64,0,ok,true
CompVis/stable-diffusion,4.02,0,ok,true
Panniantong/Agent-Reach,0.48,7,ok,true
strapi/strapi,10.89,541,ok,true
danielmiessler/SecLists,14.5,30,ok,true
fffaraz/awesome-cpp,12.09,0,ok,true
ComposioHQ/awesome-claude-skills,0.84,0,ok,true
microsoft/ai-agents-for-beginners,1.72,0,ok,true
NationalSecurityAgency/ghidra,7.47,55,ok,true
juliangarnier/anime,10.43,37,ok,true
hakimel/reveal.js,15.2,51,ok,true
pallets/flask,16.37,38,ok,true
chrislgarry/Apollo-11,12.38,0,ok,true
OpenBB-finance/OpenBB,5.66,56,ok,true
moby/moby,13.58,308,ok,true
daytonaio/daytona,2.53,205,ok,true
protocolbuffers/protobuf,11.98,218,ok,true
toeverything/AFFiNE,4.05,567,ok,true
nektos/act,7.63,97,ok,true
Asabeneh/30-Days-Of-Python,6.75,0,ok,true
666ghj/MiroFish,0.73,3,ok,true
binary-husky/gpt_academic,3.42,32,ok,true
prakhar1989/awesome-courses,11.76,0,ok,true
ansible/ansible,14.45,252,ok,true
swiftlang/swift,10.82,70,ok,true
FoundationAgents/MetaGPT,3.14,22,ok,true
expressjs/express,17.15,165,ok,true
base/node,3.55,86,ok,true
ruvnet/ruflo,1.21,1630,ok,true
code-yeongyu/oh-my-openagent,0.71,237,ok,true
