nome_repositorio,idade_anos,total_releases,status_rq21,analisado
Kong/kong,11.75,147,ok,true
yangshun/front-end-interview-handbook,8.6,0,ok,true
zen-browser/desktop,2.4,186,ok,true
babel/babel,11.89,468,ok,true
lysine-dev/retrofit,15.95,4,ok,true
astaxie/build-web-application-with-golang,14.05,0,ok,true
apache/spark,12.48,0,ok,true
DataExpert-io/data-engineer-handbook,2.75,0,ok,true
aymericdamien/TensorFlow-Examples,10.77,0,ok,true
ccxt/ccxt,9.26,248,ok,true
ray-project/ray,9.82,128,ok,true
juspay/hyperswitch,3.84,158,ok,true
colinhacks/zod,6.45,205,ok,true
danielmiessler/Fabric,2.63,423,ok,true
gradio-app/gradio,7.67,5090,ok,true
Light-City/CPlusPlusThings,7.1,0,ok,true
ziglang/zig,11.04,21,ok,true
alex/what-happens-when,12.78,0,ok,true
Unitech/pm2,13.25,138,ok,true
HeyPuter/puter,2.46,22,ok,true
zbezj/HEU_KMS_Activator,7.16,54,ok,true
FuelLabs/fuels-rs,4.8,121,ok,true
Imbad0202/academic-research-skills,0.48,40,ok,true
mifi/lossless-cut,9.8,106,ok,true
FuelLabs/fuels-ts,4.96,156,ok,true
juanfont/headscale,6.16,140,ok,true
deepspeedai/DeepSpeed,6.57,115,ok,true
faif/python-patterns,14.2,0,ok,true
curl/curl,16.42,97,ok,true
k88hudson/git-flight-rules,12.08,0,ok,true
mingrammer/diagrams,6.54,46,ok,true
apachecn/ailearning,9.48,2,ok,true
Alamofire/Alamofire,12.05,106,ok,true
danny-avila/LibreChat,3.52,94,ok,true
imputnet/cobalt,4.11,0,ok,true
saadeghi/daisyui,5.72,228,ok,true
666ghj/BettaFish,2.13,6,ok,true
fastlane/fastlane,11.71,568,ok,true
LC044/WeChatMsg,3.6,0,ok,true
nolimits4web/swiper,14.43,103,ok,true
psf/black,8.43,55,ok,true
agno-agi/agno,4.29,231,ok,true
hexojs/hexo,13.9,118,ok,true
aria2/aria2,15.73,24,ok,true
freefq/free,6.2,0,ok,true
dylanaraps/pure-bash-bible,8.19,0,ok,true
heygen-com/hyperframes,0.45,354,ok,true
chubin/cheat.sh,9.28,0,ok,true
dcloudio/uni-app,8.1,0,ok,true
apache/dubbo,14.17,114,ok,true
sxyazi/yazi,3.12,32,ok,true
yarnpkg/yarn,10.58,153,ok,true
tabler/tabler,8.54,51,ok,true
chatboxai/chatbox,3.46,60,ok,true
hpcaitech/ColossalAI,4.81,50,ok,true
exelban/stats,7.23,348,ok,true
amruthpillai/reactive-resume,6.4,136,ok,true
nwjs/nw.js,14.62,0,ok,true
styled-components/styled-components,10.01,239,ok,true
XTLS/Xray-core,5.77,119,ok,true
luongnv89/claude-howto,0.78,10,ok,true
vuetifyjs/vuetify,9.94,675,ok,true
bailicangdu/vue2-elm,9.66,0,ok,true
gkd-kit/gkd,3.13,75,ok,true
zai-org/ChatGLM-6B,3.44,0,ok,true
vercel-labs/agent-browser,0.6,102,ok,true
goabstract/Awesome-Design-Tools,7.52,0,ok,true
QSCTech/zju-icicles,10.14,0,ok,true
Hmbown/CodeWhale,0.58,133,ok,true
vim/vim,11,0,ok,true
ashishps1/awesome-system-design-resources,2.82,0,ok,true
facebookresearch/faiss,9.53,28,ok,true
appsmithorg/appsmith,6.14,308,ok,true
chatanywhere/GPT_API_free,3.32,0,ok,true
remoteintech/remote-jobs,10.85,0,ok,true
PatrickJS/awesome-cursorrules,1.92,0,ok,true
bradtraversy/50projects50days,5.75,0,ok,true
GyulyVGC/sniffnet,4.05,18,ok,true
chakra-ui/chakra-ui,7.01,3602,ok,true
trpc/trpc,6.09,239,ok,true
ToolJet/ToolJet,5.39,596,ok,true
pingcap/tidb,10.95,215,ok,true
duckdb/duckdb,8.15,63,ok,true
wg/wrk,14.41,0,ok,true
LizardByte/Sunshine,4.68,46,ok,true
php/php-src,15.18,60,ok,true
nushell/nushell,7.28,124,ok,true
CorentinTh/it-tools,6.37,10,ok,true
ManimCommunity/manim,6.25,34,ok,true
outline/outline,10.24,166,ok,true
phaserjs/phaser,13.35,178,ok,true
microsoft/BitNet,2.04,0,ok,true
photoprism/photoprism,8.56,83,ok,true
gofiber/fiber,6.59,142,ok,true
google-research/bert,7.82,0,ok,true
langchain-ai/langgraph,3.03,560,ok,true
evanw/esbuild,10.18,315,ok,true
schollz/croc,8.84,209,ok,true
Kong/insomnia,10.32,561,ok,true
go-gorm/gorm,12.82,12,ok,true
koalaman/shellcheck,13.75,30,ok,true
siddharthvaddem/openscreen,0.86,13,ok,true
videojs/video.js,16.27,336,ok,true
llvm/llvm-project,9.7,159,ok,true
2noise/ChatTTS,2.23,7,ok,true
vadimdemedes/ink,9.19,81,ok,true
novuhq/novu,4.98,144,ok,true
mindsdb/mindshub,8.05,339,ok,true
DeusData/codebase-memory-mcp,0.48,46,ok,true
qbittorrent/qBittorrent,14.54,4,ok,true
floodsung/Deep-Learning-Papers-Reading-Roadmap,9.85,0,ok,true
bojieli/ai-agent-book,0.94,1,ok,true
google/styleguide,11.25,0,ok,true
lm-sys/FastChat,3.42,14,ok,true
halo-dev/halo,8.41,269,ok,true
QuivrHQ/quivr,3.27,354,ok,true
TeamNewPipe/NewPipe,10.96,147,ok,true
pola-rs/polars,6.27,265,ok,true
AstrBotDevs/AstrBot,3.7,251,ok,true
google/leveldb,11.98,21,ok,true
freeCodeCamp/devdocs,12.82,0,ok,true
suno-ai/bark,3.37,0,ok,true
ShareX/ShareX,12.86,90,ok,true
drawdb-io/drawdb,3.09,0,ok,true
HKUDS/LightRAG,1.88,82,ok,true
google/googletest,11.06,12,ok,true
wshobson/agents,1.07,0,ok,true
datalab-to/marker,2.8,72,ok,true
deepseek-ai/awesome-deepseek-integration,2.6,0,ok,true
mattermost/mattermost,11.18,1016,ok,true
aseprite/aseprite,12,130,ok,true
rapid7/metasploit-framework,14.97,0,ok,true
RSSNext/Folo,2.36,113,ok,true
preactjs/preact,10.94,251,ok,true
YunaiV/ruoyi-vue-pro,5.57,66,ok,true
Dogfalo/materialize,11.93,41,ok,true
DioxusLabs/dioxus,5.59,42,ok,true
spacedriveapp/spacedrive,4.89,28,ok,true
lapce/lapce,8.53,35,ok,true
ajeetdsouza/zoxide,6.46,38,ok,true
ant-design/ant-design-pro,8.98,34,ok,true
Yeachan-Heo/oh-my-claudecode,0.61,244,ok,true
bytedance/UI-TARS-desktop,1.58,38,ok,true
naptha/tesseract.js,11.15,57,ok,true
gto76/python-cheatsheet,8.56,1,ok,true
google-research/google-research,7.87,0,ok,true
chatchat-space/Langchain-Chatchat,3.39,31,ok,true
kilimchoi/engineering-blogs,11.18,0,ok,true
huiyadanli/RevokeMsgPatcher,7.08,21,ok,true
google/langextract,1.11,18,ok,true
httpie/cli,14.48,47,ok,true
dotnet/aspnetcore,12.44,296,ok,true
istio/istio,9.75,450,ok,true
frappe/erpnext,15.2,1787,ok,true
portainer/portainer,10.25,189,ok,true
umami-software/umami,6.09,109,ok,true
sqlmapproject/sqlmap,14.15,11,ok,true
PhilJay/MPAndroidChart,12.32,44,ok,true
impress/impress.js,14.64,15,ok,true
huihut/interview,8.52,0,ok,true
ueberdosis/tiptap,8,985,ok,true
xyflow/xyflow,7.1,384,ok,true
docker/compose,12.69,284,ok,true
harness/harness,12.53,59,ok,true
github/awesome-copilot,1.19,0,ok,true
hyprwm/Hyprland,4.43,117,ok,true
vlang/v,7.53,304,ok,true
PostHog/posthog,6.57,907,ok,true
FreeCodeCampChina/freecodecamp.cn,9.88,0,ok,true
servo/servo,14.53,13,ok,true
anthropics/prompt-eng-interactive-tutorial,2.38,0,ok,true
Wei-Shaw/sub2api,0.67,38,ok,true
denysdovhan/wtfjs,9.1,25,ok,true
RVC-Project/Retrieval-based-Voice-Conversion-WebUI,3.4,8,ok,true
TencentARC/GFPGAN,5.42,8,ok,true
NervJS/taro,8.36,211,ok,true
shiyu-coder/Kronos,1.13,0,ok,true
fengdu78/Coursera-ML-AndrewNg-Notes,8.79,0,ok,true
aquasecurity/trivy,7.36,92,ok,true
karpathy/LLM101n,2.23,0,ok,true
TriliumNext/Trilium,9.24,354,ok,true
alibaba/arthas,7.97,78,ok,true
directus/directus,13.69,372,ok,true
alebcay/awesome-shell,12.12,0,ok,true
PKUanonym/REKCARC-TSC-UHT,7.37,0,ok,true
stanfordnlp/dspy,3.61,110,ok,true
LAION-AI/Open-Assistant,3.68,127,ok,true
exacity/deeplearningbook-chinese,9.7,7,ok,true
pbatard/rufus,14.75,90,ok,true
eugenp/tutorials,13.31,0,ok,true
openai/gym,10.31,19,ok,true
0voice/interview_internal_reference,7.19,0,ok,true
myshell-ai/OpenVoice,2.72,0,ok,true
SagerNet/sing-box,4.14,584,ok,true
IceWhaleTech/CasaOS,4.9,97,ok,true
lfnovo/open-notebook,1.83,42,ok,true
huggingface/pytorch-image-models,7.54,78,ok,true
markedjs/marked,15.07,179,ok,true
satwikkansal/wtfpython,8.97,2,ok,true
patchy631/ai-engineering-hub,1.83,0,ok,true
fastify/fastify,9.89,323,ok,true
mouredev/Hello-Python,4.04,0,ok,true
Textualize/textual,5.36,223,ok,true
AobingJava/JavaFamily,6.77,0,ok,true
babysor/MockingBird,5.03,1,ok,true
soxoj/maigret,6.14,29,ok,true
CopilotKit/CopilotKit,3.17,1434,ok,true
shadowsocks/shadowsocks-android,13.67,186,ok,true
musistudio/claude-code-router,1.48,22,ok,true
Dokploy/dokploy,2.33,170,ok,true
ashishpatel26/500-AI-Agents-Projects,1.66,0,ok,true
veggiemonk/awesome-docker,11.91,1,ok,true
google-ai-edge/mediapipe,7.18,67,ok,true
ZuodaoTech/everyone-can-use-english,7.43,48,ok,true
microsoft/Data-Science-For-Beginners,5.46,0,ok,true
typeorm/typeorm,10.47,45,ok,true
date-fns/date-fns,11.87,127,ok,true
jaywcjlove/linux-command,9.77,32,ok,true
blader/humanizer,0.58,4,ok,true
mpv-player/mpv,13.85,89,ok,true
1Panel-dev/1Panel,4.08,125,ok,true
khoj-ai/khoj,5.01,173,ok,true
inkonchain/docs,2.28,0,ok,true
xinntao/Real-ESRGAN,5.08,10,ok,true
HKUDS/DeepTutor,0.64,68,ok,true
nextcloud/server,10.21,462,ok,true
songquanpeng/one-api,3.33,55,ok,true
hankcs/HanLP,11.86,62,ok,true
doocs/leetcode,7.92,21,ok,true
inkonchain/node,2.27,6,ok,true
glanceapp/glance,2.31,34,ok,true
open-guides/og-aws,10.1,0,ok,true
ashishpatel26/500-AI-Machine-learning-Deep-learning-Computer-vision-NLP-Projects-with-code,5.63,0,ok,true
tinyhumansai/openhuman,0.5,56,ok,true
inkonchain/ink-kit,1.79,0,ok,true
GorvGoyl/Clone-Wars,5.71,0,ok,true
formulahendry/955.WLB,7.4,0,ok,true
SheetJS/sheetjs,13.71,0,ok,true
reworkd/AgentGPT,3.37,12,ok,true
keycloak/keycloak,13.13,112,ok,true
microsoft/playwright-mcp,1.41,69,ok,true
ItzCrazyKns/Vane,2.36,34,ok,true
AdguardTeam/AdGuardHome,10.12,244,ok,true
PDFMathTranslate/PDFMathTranslate,1.95,24,ok,true
jax-ml/jax,7.82,140,ok,true
firecracker-microvm/firecracker,8.83,90,ok,true
hashicorp/vault,11.48,182,ok,true
pnpm/pnpm,10.56,1153,ok,true
geekxh/hello-algorithm,6.22,0,ok,true
carbon-app/carbon,9.17,215,ok,true
Yuan1z0825/nature-skills,0.32,0,ok,true
lerna/lerna,10.71,253,ok,true
slatedocs/slate,12.93,28,ok,true
Crosstalk-Solutions/project-nomad,1.15,76,ok,true
zsh-users/zsh-autosuggestions,12.81,0,ok,true
chatwoot/chatwoot,7.01,149,ok,true
medusajs/medusa,6.58,163,ok,true
filebrowser/filebrowser,10.94,157,ok,true
wailsapp/wails,7.68,356,ok,true
solidjs/solid,8.32,37,ok,true
OpenBMB/VoxCPM,0.92,14,ok,true
XingangPan/DragGAN,3.26,0,ok,true
searxng/searxng,5.35,0,ok,true
junegunn/vim-plug,12.94,8,ok,true
alan2207/bulletproof-react,5.22,0,ok,true
airbnb/lottie-android,9.87,63,ok,true
jondot/awesome-react-native,11.4,0,ok,true
koajs/koa,13.08,18,ok,true
opentofu/manifesto,3.02,0,ok,true
permissionlesstech/bitchat,1.13,20,ok,true
gchq/CyberChef,9.72,458,ok,true
restic/restic,12.31,51,ok,true
microsoft/graphrag,2.4,41,ok,true
ryanhanwu/How-To-Ask-Questions-The-Smart-Way,11.39,0,ok,true
continuedev/continue,3.24,827,ok,true
refinedev/refine,5.58,1687,ok,true
drizzle-team/drizzle-orm,5.15,182,ok,true
jqlang/jq,14.09,16,ok,true
alvarotrigo/fullPage.js,12.91,109,ok,true
casey/just,10.17,146,ok,true
tailscale/tailscale,6.55,159,ok,true
kuchin/awesome-cto,9.67,0,ok,true
nativefier/nativefier,11.12,99,ok,true
typicode/husky,12.16,80,ok,true
geekcomputers/Python,14.72,0,ok,true
VectifyAI/PageIndex,1.38,8,ok,true
sahat/hackathon-starter,12.76,18,ok,true
blakeblackshear/frigate,7.56,81,ok,true
fxsjy/jieba,13.89,9,ok,true
geekan/HowToLiveLonger,4.34,0,ok,true
DayuanJiang/next-ai-draw-io,1.41,18,ok,true
utmapp/UTM,7.35,130,ok,true
hehonghui/awesome-english-ebooks,4.14,0,ok,true
netty/netty,15.78,13,ok,true
unknwon/the-way-to-go_ZH_CN,13.4,0,ok,true
bumptech/glide,13.11,59,ok,true
sorrycc/awesome-javascript,12.13,0,ok,true
zellij-org/zellij,5.96,69,ok,true
awesome-foss/awesome-sysadmin,11.66,0,ok,true
gitroomhq/postiz-app,3.12,199,ok,true
laravel/framework,13.6,966,ok,true
esengine/DeepSeek-Reasonix,0.33,190,ok,true
facebookresearch/detectron2,6.95,10,ok,true
qishibo/AnotherRedisDesktopManager,7.61,55,ok,true
TheAlgorithms/C-Plus-Plus,10.09,0,ok,true
BVLC/caffe,12.93,14,ok,true
lissy93/web-check,3.15,3,ok,true
ocrmypdf/OCRmyPDF,12.66,62,ok,true
v2fly/v2ray-core,7.35,130,ok,true
kovidgoyal/kitty,9.84,143,ok,true
nothings/stb,12.24,0,ok,true
anthropics/financial-services,0.48,0,ok,true
raysan5/raylib,12.82,25,ok,true
derailed/k9s,7.56,258,ok,true
SeleniumHQ/selenium,13.59,120,ok,true
CMU-Perceptual-Computing-Lab/openpose,9.32,15,ok,true
huggingface/diffusers,4.22,92,ok,true
xitu/gold-miner,10.79,0,ok,true
jaredpalmer/formik,9.18,200,ok,true
nodejs/node-v0.x-archive,17.23,0,ok,true
python-poetry/poetry,8.47,151,ok,true
TheAlgorithms/JavaScript,9.1,0,ok,true
openai/CLIP,5.67,0,ok,true
balena-io/etcher,10.81,291,ok,true
backstage/backstage,6.57,542,ok,true
swc-project/swc,8.66,818,ok,true
ehang-io/nps,7.79,59,ok,true
seaweedfs/seaweedfs,12.1,316,ok,true
lightpanda-io/browser,3.53,20,ok,true
zenorocha/clipboard.js,10.92,42,ok,true
aristocratos/btop,5.29,55,ok,true
agentscope-ai/QwenPaw,0.48,107,ok,true
testerSunshine/12306,9.26,1,ok,true
xkcoding/spring-boot-demo,8.77,0,ok,true
lllyasviel/ControlNet,3.55,0,ok,true
zxing/zxing,14.85,32,ok,true
qdrant/qdrant,6.22,116,ok,true
OpenBMB/ChatDev,2.98,12,ok,true
fish-shell/fish-shell,14.28,67,ok,true
chenfei-wu/TaskMatrix,3.47,0,ok,true
MonitorControl/MonitorControl,8.92,26,ok,true
atlassian/react-beautiful-dnd,9.03,68,ok,true
K-Dense-AI/scientific-agent-skills,0.83,101,ok,true
NginxProxyManager/nginx-proxy-manager,8.66,88,ok,true
pcottle/learnGitBranching,14.02,0,ok,true
lib-pku/libpku,7.74,0,ok,true
carbon-language/carbon-lang,6.31,765,ok,true
explosion/spaCy,12.13,137,ok,true
TabbyML/tabby,3.43,249,ok,true
halfrost/LeetCode-Go,9.09,5,ok,true
k3s-io/k3s,8.22,1023,ok,true
SerenityOS/serenity,7.71,0,ok,true
anthropics/claude-plugins-official,0.74,0,ok,true
mli/paper-reading,4.82,0,ok,true
Pythagora-io/gpt-pilot,3.01,0,ok,true
alibaba/easyexcel,8.53,14,ok,true
valinet/ExplorerPatcher,5.03,300,ok,true
anoma/anoma,5.54,12,ok,true
Blankj/AndroidUtilCode,10.05,117,ok,true
binwiederhier/ntfy,4.82,108,ok,true
bayandin/awesome-awesomeness,12.11,0,ok,true
shadowsocks/shadowsocks,14.33,2,ok,true
apache/kafka,15.01,0,ok,true
tinygrad/tinygrad,5.83,15,ok,true
XX-net/XX-Net,11.59,390,ok,true
microsoft/WSL,10.37,108,ok,true
langfuse/langfuse,3.26,657,ok,true
AFNetworking/AFNetworking,15.22,40,ok,true
nicolargo/glances,14.71,61,ok,true
lutzroeder/netron,15.65,9,ok,true
MetaCubeX/mihomo,5.25,62,ok,true
mckaywrigley/chatbot-ui,3.44,0,ok,true
google/comprehensive-rust,3.66,0,ok,true
remix-run/remix,5.81,639,ok,true
motiondivision/motion,7.76,0,ok,true
alibaba/nacos,8.18,98,ok,true
zeromicro/go-zero,6.03,154,ok,true
dgtlmoon/changedetection.io,5.56,216,ok,true
waydabber/BetterDisplay,4.82,133,ok,true
certbot/certbot,11.77,72,ok,true
linshenkx/prompt-optimizer,1.51,47,ok,true
bilibili/ijkplayer,13.21,0,ok,true
vbenjs/vue-vben-admin,6.11,63,ok,true
qier222/YesPlayMusic,5.86,32,ok,true
cursor/cursor,3.44,0,ok,true
pear-devs/pear-desktop,7.33,88,ok,true
Leey21/awesome-ai-research-writing,0.55,0,ok,true
datawhalechina/happy-llm,2.23,3,ok,true
AlexsJones/llmfit,0.51,128,ok,true
immutable-js/immutable-js,12.13,100,ok,true
binarywang/WxJava,10.62,31,ok,true
ibraheemdev/modern-unix,5.6,0,ok,true
adobe/brackets,14.7,69,ok,true
tokio-rs/tokio,9.94,154,ok,true
FreeCAD/FreeCAD,13.94,115,ok,true
gulpjs/gulp,13.13,24,ok,true
